goos: darwin
goarch: arm64
pkg: github.com/aegis/internal/dataplane/router
cpu: Apple M4
BenchmarkLookupHighFanout/routes=16-10         	46487427	        71.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	49801112	        71.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	50015571	        70.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	51487934	        71.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	47915641	        71.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	50451669	        72.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	50265844	        72.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	50713302	        71.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	51025921	        72.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=16-10         	50418343	        73.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	30433111	       115.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31026703	       114.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31535619	       117.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31755144	       115.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31843881	       114.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31627069	       115.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31898892	       114.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31855587	       113.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	30411644	       115.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=64-10         	31409238	       115.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18127561	       195.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18452264	       195.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18393352	       195.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	17986389	       195.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18205267	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18166724	       195.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18451168	       196.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18186153	       196.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18238879	       196.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=256-10        	18121910	       195.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=512-10        	 6278403	       574.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLookupHighFanout/routes=512-10        	 6270927	       575.1 ns/op	       0 B/op	       0 allocs/op
